row ID,row m/z,row retention time,7p.mzML Peak area,4p.mzML Peak area,6p.mzML Peak area,1p.mzML Peak area,9p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,5p.mzML Peak area,12p.mzML Peak area,11p.mzML Peak area,13p.mzML Peak area,8p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area
2916,277.2166559,11.304929,32100.955,4538.5444,9405.922,18037.893,34830.516,14838.924,15826.815,15627.2705,14553.889,7109.895,8287.141,30717.21,11327.018,109724.98,7619.3193
2917,740.4146211,11.201631,37225.26,183571.9,27378.504,32174.402,24266.547,78181.6,325269.78,66478.06,16585.566,6066.437,17700.695,113694.01,65282.49,81418.39,12471.185
2918,293.1749922,11.214709,0,0,0,0,0,0,0,0,0,0,0,0,0,9588.851,0
2919,369.1951132,11.203071,7697.112,0,0,0,0,0,0,0,0,0,0,0,0,22229.207,0
2920,699.4361236,11.203071,2799.5396,0,0,0,0,0,0,0,0,0,0,0,0,16664.39,0
2921,353.2305673,11.21483,676215.4,136264.86,135813.6,162742.17,401449.78,165933.28,56006.11,98398.24,106547.42,87792.05,109003.37,70024.33,100252.25,908201.2,66526.75
2922,293.2115884,11.274149,10717.0625,0,4392.8086,10793.189,14281.447,0,7883.3135,11490.776,4404.102,2325.1587,1561.9053,19912.455,2741.1992,28974.742,2478.688
2923,812.4720309,11.231972,30666.373,61595.688,13304.717,64433.652,39963.234,54663.766,28753.943,35390.016,11661.255,5237.2026,23749.734,27339.29,29314.72,0,15192.135
2924,221.1540442,11.265877,10786.147,0,0,0,9892.734,0,0,0,0,0,0,5281.573,0,23664.336,0
2925,295.227336,11.312054,92846.15,60679.44,30932.443,61553.19,109612.11,30471.29,24691.889,75030.586,32532.408,14309.841,26596.965,83666.086,48918.305,164629.9,54186.12
2926,798.4563681,11.231599,8940.582,7110.362,0,17892.14,14603.753,21586.174,8867.133,20656.914,0,0,0,14176.577,13916.648,0,7864.506
2927,406.7395087,11.290643,0,19108.104,0,39423.45,8314.473,9273.406,14464.763,48953.72,0,0,0,12057.148,6342.976,0,16401.24
2928,812.4720375,11.283408,19554.883,16238.357,13304.717,28901.422,39043.266,44984.734,18908.195,35390.016,11661.255,5237.2026,22219.908,64985.195,29314.72,0,18923.154
2929,291.1959669,11.229191,9651.047,10243.104,10580.52,20018.85,23004.865,23634.332,23276.896,17749.438,5138.166,6894.4507,1473.6313,20084.857,8520.838,5034.7603,9364.995
2930,810.4567809,11.306506,0,118937.09,4591.3794,56734.953,0,47595.594,13453.408,45263.945,6046.9995,1952.6222,20719.414,7119.184,26497.006,0,23846.16
2931,397.7342267,11.253297,0,24848.86,1656.3491,38378.164,17278.633,21950.736,28175.756,43672.42,0,0,0,7702.3647,23536.213,0,11822.05
2932,762.3959543,11.193436,2501.969,14941.951,0,3180.717,2275.0498,11518.826,0,9760.901,0,0,0,0,0,3335.4436,5461.163
2933,810.4566456,11.3731985,0,32683.635,4591.3794,30122.156,6236.9404,55309.766,28055.604,105961.31,7132.334,1952.6222,22093.959,7119.184,15792.609,0,23551.217
