row ID,row m/z,row retention time,6p.mzML Peak area,7p.mzML Peak area,1p.mzML Peak area,4p.mzML Peak area,5p.mzML Peak area,3p.mzML Peak area,2p.mzML Peak area,9p.mzML Peak area,11p.mzML Peak area,8p.mzML Peak area,12p.mzML Peak area,15p.mzML Peak area,10p.mzML Peak area,14p.mzML Peak area,13p.mzML Peak area,18p.mzML Peak area,16p.mzML Peak area,20p.mzML Peak area,17p.mzML Peak area,19p.mzML Peak area
,,,DSM43815,DSM43815,DSM43168,DSM43168,DSM43168,DSM43168,DSM43168,DSM43815,2M254,DSM43815,2M254,2M254,DSM43815,2M254,2M254,CT,CT,CT,CT,CT
4304,485.2908907,19.060982,0,29753.117,7816.0586,34746.66,43713.812,42930.14,33223.93,57471.715,45931.6,24840.719,92971.914,60921.902,60814.305,25666.812,39129.293,46085.64,23238.879,41492.387,50874.637,0
4305,479.2918322,19.038828,0,0,32428.531,241648.84,249931.28,250283.58,283323.44,0,43488.355,0,155389.27,97811.53,0,346021.75,43922.477,0,0,0,0,0
4306,280.264466,18.90684,4118224.5,1288146.5,5595588.5,7190799.5,2059041.5,1656452.5,3530590.8,5470345.5,1320556.1,62998.55,0,3068046.2,2555999.5,0,3777809.2,2168965.5,4525123,2835498.2,0,5974892
4307,165.1641326,18.947565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4308,198.185654,18.872164,33313.145,9549.434,38418.145,17451.615,16361.277,21034.508,20103.717,16510.727,21855.76,12646.59,18999.113,25183.842,9713.508,13542.092,0,16809.25,30816.842,22060.89,27944.28,20234.498
4309,814.5612018,19.127943,0,0,0,0,0,4530.6235,0,0,0,0,0,0,5422.9014,0,0,15348.582,20469.367,4813.9243,29141.32,6729.423
4310,179.1798134,18.910278,0,0,0,4501.0205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4311,264.2403298,18.87901,159117.86,51589.562,120872.15,275004.03,78082.03,101261.734,87605.51,80642.805,51617.86,44891.95,88046.32,157257.53,83698.484,74029.71,0,81476.31,145250.5,106313,93324.82,97775.79
4312,170.1541944,18.868708,13885.021,9214.6045,13227.565,10008.544,7359.7847,12406.931,10370.169,12267.288,5151.97,0,13615.852,11746.872,7162.1177,6785.775,0,13745.248,15955.803,10360.509,15117.238,8414.345
4313,175.1485155,18.96248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
